ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756091452350000000,113269.42,113528.39,0.12002,1e-05,113398.905,258.97,113528.368425
1756091452400000000,113269.44,113528.39,0.04,1e-05,113398.915,258.95,113528.325279
1756091452450000000,113269.44,113528.39,0.04,1e-05,113398.915,258.95,113528.325279
1756091452500000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452550000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452600000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452650000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452700000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452750000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452800000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452850000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452900000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091452950000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453000000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453050000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453100000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453150000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453200000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453250000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453300000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453350000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453400000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453450000000,113269.45,113528.39,0.12002,1e-05,113398.92,258.94,113528.368427
1756091453500000000,113269.45,113528.39,0.1001,1e-05,113398.92,258.94,113528.364134
1756091453550000000,113269.45,113528.39,0.1001,1e-05,113398.92,258.94,113528.364134
1756091453600000000,113269.45,113528.39,0.1001,1e-05,113398.92,258.94,113528.364134
1756091453650000000,113269.45,113528.39,0.1001,1e-05,113398.92,258.94,113528.364134
1756091453700000000,113269.45,113528.39,0.1001,1e-05,113398.92,258.94,113528.364134
1756091453750000000,113269.45,113528.39,0.1001,1e-05,113398.92,258.94,113528.364134
1756091453800000000,113269.46,113528.39,0.04,1e-05,113398.925,258.93,113528.325284
1756091453850000000,113269.46,113528.39,0.04,1e-05,113398.925,258.93,113528.325284
1756091453900000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091453950000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454000000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454050000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454100000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454150000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454200000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454250000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454300000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
